Z_14,gene,abs_loading,factor
0.49176753,ENSG00000122711.9,0.49176753,Z_14
0.3761945,ENSG00000160180.17,0.3761945,Z_14
0.32732248,ENSG00000101333.18,0.32732248,Z_14
0.31337586,ENSG00000120738.8,0.31337586,Z_14
-0.3053534,ENSG00000125378.16,0.3053534,Z_14
0.2584285,ENSG00000272398.6,0.2584285,Z_14
-0.25480872,ENSG00000211897.9,0.25480872,Z_14
-0.24340157,ENSG00000106066.15,0.24340157,Z_14
-0.2411748,ENSG00000069482.7,0.2411748,Z_14
0.23779811,ENSG00000112562.19,0.23779811,Z_14
-0.23016371,ENSG00000151490.15,0.23016371,Z_14
-0.21962929,ENSG00000138182.15,0.21962929,Z_14
0.21894544,ENSG00000100526.20,0.21894544,Z_14
-0.21773547,ENSG00000266088.6,0.21773547,Z_14
0.21733154,ENSG00000125144.14,0.21733154,Z_14
0.21730758,ENSG00000079459.13,0.21730758,Z_14
-0.21492729,ENSG00000177685.17,0.21492729,Z_14
-0.20600908,ENSG00000056050.7,0.20600908,Z_14
-0.20503181,ENSG00000108244.17,0.20503181,Z_14
0.20440264,ENSG00000134193.15,0.20440264,Z_14
-0.20430577,ENSG00000277610.1,0.20430577,Z_14
0.20221613,ENSG00000132170.24,0.20221613,Z_14
-0.20120002,ENSG00000116761.12,0.20120002,Z_14
0.20001745,ENSG00000129824.16,0.20001745,Z_14
0.19841616,ENSG00000166165.13,0.19841616,Z_14
0.19588433,ENSG00000159182.5,0.19588433,Z_14
-0.19392845,ENSG00000163220.11,0.19392845,Z_14
-0.19058807,ENSG00000076248.11,0.19058807,Z_14
-0.1896883,ENSG00000165171.11,0.1896883,Z_14
-0.189648,ENSG00000168003.18,0.189648,Z_14
0.1895608,ENSG00000198938.2,0.1895608,Z_14
0.18773326,ENSG00000164104.12,0.18773326,Z_14
0.18678907,ENSG00000111665.12,0.18678907,Z_14
-0.18662183,ENSG00000119969.15,0.18662183,Z_14
-0.18581276,ENSG00000075131.10,0.18581276,Z_14
-0.18564706,ENSG00000141934.10,0.18564706,Z_14
-0.18159147,ENSG00000211896.7,0.18159147,Z_14
-0.18156165,ENSG00000161395.14,0.18156165,Z_14
0.18151683,ENSG00000130513.6,0.18151683,Z_14
-0.1805991,ENSG00000021300.14,0.1805991,Z_14
-0.17880414,ENSG00000172927.8,0.17880414,Z_14
0.17873214,ENSG00000124253.11,0.17873214,Z_14
-0.17725995,ENSG00000046647.14,0.17725995,Z_14
-0.1771322,ENSG00000241186.10,0.1771322,Z_14
0.17685978,ENSG00000127125.9,0.17685978,Z_14
-0.17565584,ENSG00000112208.11,0.17565584,Z_14
-0.17437923,ENSG00000132434.10,0.17437923,Z_14
-0.1742524,ENSG00000175582.20,0.1742524,Z_14
0.17386793,ENSG00000067082.15,0.17386793,Z_14
0.17215718,ENSG00000108064.11,0.17215718,Z_14
0.17211,ENSG00000057608.17,0.17211,Z_14
-0.17187232,ENSG00000164615.6,0.17187232,Z_14
0.17111264,ENSG00000172053.18,0.17111264,Z_14
-0.16839392,ENSG00000158411.11,0.16839392,Z_14
-0.1682175,ENSG00000173702.7,0.1682175,Z_14
-0.16777457,ENSG00000188643.11,0.16777457,Z_14
-0.16694969,ENSG00000102699.6,0.16694969,Z_14
0.16655916,ENSG00000172725.14,0.16655916,Z_14
-0.16653848,ENSG00000023734.11,0.16653848,Z_14
-0.16638948,ENSG00000136874.11,0.16638948,Z_14
-0.16636439,ENSG00000247516.8,0.16636439,Z_14
-0.16470475,ENSG00000141753.7,0.16470475,Z_14
0.16455816,ENSG00000121316.11,0.16455816,Z_14
-0.1643489,ENSG00000211592.8,0.1643489,Z_14
0.1624603,ENSG00000182199.11,0.1624603,Z_14
-0.16162942,ENSG00000114767.7,0.16162942,Z_14
-0.16135141,ENSG00000198786.2,0.16135141,Z_14
-0.16034307,ENSG00000204257.15,0.16034307,Z_14
-0.16002807,ENSG00000169908.12,0.16002807,Z_14
0.15976374,ENSG00000125166.13,0.15976374,Z_14
-0.1590452,ENSG00000076003.5,0.1590452,Z_14
0.15896095,ENSG00000124299.15,0.15896095,Z_14
-0.15734349,ENSG00000084073.10,0.15734349,Z_14
-0.15723976,ENSG00000178878.13,0.15723976,Z_14
0.15721683,ENSG00000141682.12,0.15721683,Z_14
-0.15703915,ENSG00000158402.21,0.15703915,Z_14
-0.15650766,ENSG00000171202.7,0.15650766,Z_14
-0.15620543,ENSG00000186660.15,0.15620543,Z_14
-0.15562138,ENSG00000123836.15,0.15562138,Z_14
-0.15535101,ENSG00000170653.19,0.15535101,Z_14
-0.15507498,ENSG00000214049.8,0.15507498,Z_14
-0.15431583,ENSG00000074696.13,0.15431583,Z_14
-0.15426265,ENSG00000205189.12,0.15426265,Z_14
0.15410058,ENSG00000164733.22,0.15410058,Z_14
-0.15387589,ENSG00000268621.6,0.15387589,Z_14
-0.15371726,ENSG00000131748.16,0.15371726,Z_14
-0.15341464,ENSG00000141378.15,0.15341464,Z_14
